Rio de Janeiro;Código: 3304557

Ensino - Matrículas, Docentes e Rede Escolar 2012
Matrícula - Ensino fundamental - 2012 (1);803.315;Matrículas
Matrícula - Ensino fundamental - escola pública estadual - 2012 (1);14.231;Matrículas
Matrícula - Ensino fundamental - escola pública federal - 2012 (1);10.401;Matrículas
Matrícula - Ensino fundamental - escola pública municipal - 2012 (1);527.373;Matrículas
Matrícula - Ensino fundamental - escola privada - 2012 (1);251.310;Matrículas
Matrícula - Ensino médio - 2012 (1);239.708;Matrículas
Matrícula - Ensino médio - escola pública estadual - 2012 (1);168.610;Matrículas
Matrícula - Ensino médio - escola pública federal - 2012 (1);7.613;Matrículas
Matrícula - Ensino médio - escola pública municipal - 2012 (1);0;Matrículas
Matrícula - Ensino médio - escola privada - 2012 (1);63.485;Matrículas
Matrícula - Ensino pré-escolar - 2012 (1);128.154;Matrículas
Matrícula - Ensino pré-escolar - escola pública estadual - 2012 (1);203;Matrículas
Matrícula - Ensino pré-escolar - escola pública federal - 2012 (1);240;Matrículas
Matrícula - Ensino pré-escolar - escola pública municipal - 2012 (1);71.871;Matrículas
Matrícula - Ensino pré-escolar - escola privada - 2012 (1);55.840;Matrículas
Docentes - Ensino fundamental - 2012 (1);39.504;Docentes
Docentes - Ensino fundamental - escola pública estadual - 2012 (1);1.310;Docentes
Docentes - Ensino fundamental - escola pública federal - 2012 (1);822;Docentes
Docentes - Ensino fundamental - escola pública municipal - 2012 (1);20.639;Docentes
Docentes - Ensino fundamental - escola privada - 2012 (1);16.733;Docentes
Docentes - Ensino médio - 2012 (1);16.840;Docentes
Docentes - Ensino médio - escola pública estadual - 2012 (1);9.480;Docentes
Docentes - Ensino médio - escola pública federal - 2012 (1);895;Docentes
Docentes - Ensino médio - escola pública municipal - 2012 (1);0;Docentes
Docentes - Ensino médio - escola privada - 2012 (1);6.465;Docentes
Docentes - Ensino pré-escolar - 2012 (1);8.423;Docentes
Docentes - Ensino pré-escolar - escola pública estadual - 2012 (1);27;Docentes
Docentes - Ensino pré-escolar - escola pública federal - 2012 (1);30;Docentes
Docentes - Ensino pré-escolar - escola pública municipal - 2012 (1);3.847;Docentes
Docentes - Ensino pré-escolar - escola privada - 2012 (1);4.519;Docentes
Escolas - Ensino fundamental - 2012 (1);2.319;Escolas
Escolas - Ensino fundamental - escola pública estadual - 2012 (1);55;Escolas
Escolas - Ensino fundamental - escola pública federal - 2012 (1);15;Escolas
Escolas - Ensino fundamental - escola pública municipal - 2012 (1);983;Escolas
Escolas - Ensino fundamental - escola privada - 2012 (1);1.266;Escolas
Escolas - Ensino médio - 2012 (1);748;Escolas
Escolas - Ensino médio - escola pública estadual - 2012 (1);270;Escolas
Escolas - Ensino médio - escola pública federal - 2012 (1);13;Escolas
Escolas - Ensino médio - escola pública municipal - 2012 (1);0;Escolas
Escolas - Ensino médio - escola privada - 2012 (1);465;Escolas
Escolas - Ensino pré-escolar - 2012 (1);2.062;Escolas
Escolas - Ensino pré-escolar - escola pública estadual - 2012 (1);2;Escolas
Escolas - Ensino pré-escolar - escola pública federal - 2012 (1);4;Escolas
Escolas - Ensino pré-escolar - escola pública municipal - 2012 (1);728;Escolas
Escolas - Ensino pré-escolar - escola privada - 2012 (1);1.328;Escolas

Fonte: (1)Ministério da Educação, Instituto Nacional de Estudos e Pesquisas Educacionais - INEP - Censo Educacional 2012. 
NOTA: Atribui-se zeros aos valores dos municípios onde não há ocorrência da variável.

